Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Philips Lamp 2,Bulb,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-31 16:55:17.000000,59,0x5bb9,0xffff,72,,,0.0
Philips Lamp 2,Bulb,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-31 16:55:17.008144,47,0x5bb9,0xffff,73,,,0.008144
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-31 16:55:17.142261,50,0x0000,0xffff,188,0x0000,0xfffc,0.134117
Philips Lamp 2,Bulb,Broadcast,Broadcast,Philips Lamp 2,Bulb,Broadcast,Broadcast,2023-10-31 16:55:17.282450,59,0x5bb9,0xffff,74,0x5bb9,0xfffc,0.140189
Philips Lamp 2,Bulb,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-31 16:55:17.556767,59,0x5bb9,0xffff,75,,,0.274317
Philips Lamp 2,Bulb,Broadcast,Broadcast,Philips Lamp 2,Bulb,Broadcast,Broadcast,2023-10-31 16:55:17.916481,59,0x5bb9,0xffff,76,0x5bb9,0xfffc,0.359714
Philips Lamp 2,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-31 16:55:18.547086,55,0x5bb9,0x0000,77,,,0.630605
Coordinator,Coordinator,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-31 16:55:18.549229,5,0x0000,0x5bb9,77,,,0.002143
Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,2023-10-31 16:55:18.595878,48,0x5bb9,0x0000,78,0x5bb9,0x0000,0.046649
Coordinator,Coordinator,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-31 16:55:18.597797,5,0x0000,0x5bb9,78,,,0.001919
Coordinator,Coordinator,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-31 16:55:18.612190,62,0x0000,0x5bb9,189,,,0.014393
Philips Lamp 2,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-31 16:55:18.614557,5,0x5bb9,0x0000,189,,,0.002367
Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-31 16:55:18.619493,45,0x0000,0x5bb9,190,0x0000,0x5bb9,0.004936
Philips Lamp 2,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-31 16:55:18.621316,5,0x5bb9,0x0000,190,,,0.001823
Philips Lamp 2,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-31 16:55:18.622326,55,0x5bb9,0x0000,79,,,0.00101
Coordinator,Coordinator,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-31 16:55:18.624469,5,0x0000,0x5bb9,79,,,0.002143
Philips Lamp 2,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-31 16:55:18.627058,55,0x5bb9,0x0000,80,,,0.002589
Coordinator,Coordinator,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-31 16:55:18.629201,5,0x0000,0x5bb9,80,,,0.002143
Coordinator,Coordinator,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-31 16:55:18.634141,45,0x0000,0x5bb9,191,,,0.00494
Philips Lamp 2,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-31 16:55:18.635964,5,0x5bb9,0x0000,191,,,0.001823
Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,2023-10-31 16:55:18.669081,58,0x5bb9,0x0000,81,0x5bb9,0x0000,0.033117
Coordinator,Coordinator,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-31 16:55:18.671320,5,0x0000,0x5bb9,81,,,0.002239
Philips Lamp 2,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-31 16:55:18.674882,45,0x5bb9,0x0000,82,,,0.003562
Coordinator,Coordinator,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-31 16:55:18.676705,5,0x0000,0x5bb9,82,,,0.001823
Coordinator,Coordinator,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-31 16:55:18.696708,90,0x0000,0x5bb9,192,,,0.020003
Philips Lamp 2,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-31 16:55:18.699972,5,0x5bb9,0x0000,192,,,0.003264
Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,2023-10-31 16:55:18.704988,55,0x5bb9,0x0000,83,0x5bb9,0x0000,0.005016
Coordinator,Coordinator,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-31 16:55:18.707131,5,0x0000,0x5bb9,83,,,0.002143
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-31 16:55:18.752286,10,,0xffff,84,,,0.045155
Coordinator,Coordinator,Unknown,Unknown,Unknown,Unknown,,,2023-10-31 16:55:18.825006,28,0x0000,,193,,,0.07272
Philips Lamp 2,Bulb,Broadcast,Broadcast,Philips Lamp 2,Bulb,Broadcast,Broadcast,2023-10-31 16:55:20.034922,50,0x5bb9,0xffff,100,0x5bb9,0xfffc,1.209916
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.329140,50,0x0000,0x1cd8,194,,,0.294218
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.332064,50,0x0000,0x1cd8,194,,,0.002924
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.335652,50,0x0000,0x1cd8,194,,,0.003588
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.339626,50,0x0000,0x1cd8,194,,,0.003974
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.387782,50,0x0000,0x1cd8,195,,,0.048156
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.392623,50,0x0000,0x1cd8,195,,,0.004841
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.396164,50,0x0000,0x1cd8,195,,,0.003541
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.401032,50,0x0000,0x1cd8,195,,,0.004868
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-31 16:55:20.456088,50,0x0000,0x1cd8,196,0x0000,0x1cd8,0.055056
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-31 16:55:20.461355,50,0x0000,0x1cd8,196,0x0000,0x1cd8,0.005267
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-31 16:55:20.465433,50,0x0000,0x1cd8,196,0x0000,0x1cd8,0.004078
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-31 16:55:20.470673,50,0x0000,0x1cd8,196,0x0000,0x1cd8,0.00524
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-31 16:55:20.522042,50,0x0000,0x1cd8,197,0x0000,0x1cd8,0.051369
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-31 16:55:20.526835,50,0x0000,0x1cd8,197,0x0000,0x1cd8,0.004793
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-31 16:55:20.531910,50,0x0000,0x1cd8,197,0x0000,0x1cd8,0.005075
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-31 16:55:20.535130,50,0x0000,0x1cd8,197,0x0000,0x1cd8,0.00322
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-31 16:55:20.609043,50,0x0000,0x1cd8,198,0x0000,0x1cd8,0.073913
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-31 16:55:20.612979,50,0x0000,0x1cd8,198,0x0000,0x1cd8,0.003936
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-31 16:55:20.616467,50,0x0000,0x1cd8,198,0x0000,0x1cd8,0.003488
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-31 16:55:20.619736,50,0x0000,0x1cd8,198,0x0000,0x1cd8,0.003269
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.666498,50,0x0000,0x1cd8,199,,,0.046762
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.670381,50,0x0000,0x1cd8,199,,,0.003883
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.674189,50,0x0000,0x1cd8,199,,,0.003808
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.678956,50,0x0000,0x1cd8,199,,,0.004767
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.730427,50,0x0000,0x1cd8,200,,,0.051471
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.734412,50,0x0000,0x1cd8,200,,,0.003985
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.739180,50,0x0000,0x1cd8,200,,,0.004768
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.744000,50,0x0000,0x1cd8,200,,,0.00482
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-31 16:55:20.792429,50,0x0000,0x1cd8,201,0x0000,0x1cd8,0.048429
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-31 16:55:20.796388,50,0x0000,0x1cd8,201,0x0000,0x1cd8,0.003959
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-31 16:55:20.799875,50,0x0000,0x1cd8,201,0x0000,0x1cd8,0.003487
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-31 16:55:20.805130,50,0x0000,0x1cd8,201,0x0000,0x1cd8,0.005255
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.841490,50,0x0000,0x1cd8,202,,,0.03636
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.850086,50,0x0000,0x1cd8,202,,,0.008596
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.855621,50,0x0000,0x1cd8,202,,,0.005535
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-31 16:55:20.860659,50,0x0000,0x1cd8,202,,,0.005038
Philips Lamp 2,Bulb,Broadcast,Broadcast,Philips Lamp 2,Bulb,Broadcast,Broadcast,2023-10-31 16:55:21.538698,65,0x5bb9,0xffff,101,0x5bb9,0xfffd,0.678039
Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-31 16:55:21.584366,49,0x0000,0x5bb9,203,0x0000,0x5bb9,0.045668
Philips Lamp 2,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-31 16:55:21.586317,5,0x5bb9,0x0000,203,,,0.001951
Coordinator,Coordinator,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-31 16:55:21.596677,65,0x0000,0xffff,204,,,0.01036
