Device Name,Device Type,File Name,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT
Aqara Button,Button,./Data\Power\Topology_A\4-Group_dataset\powerSmartSocket2_group.csv,53.0,0.0,53.0,53.0,53.0,0.0,0.0,0.0,4.0,0.004349666666666667,0.00018417473587149054,0.004456,0.004137,0.004456,,-1.7320508075688772,0.0001417777777777777,53.0,0.0,53,53,53.0,0.0,0.0,0.0,4,0.004349666666666667,0.00018417473587149054,0.004456,0.004137,0.004456,,-1.7320508075688772,0.0001417777777777777,,,,,,,,,,,,,,,,,
Aqara Button,Button,./Data\Power\Topology_A\4-Group_dataset\powerSmartSocket2_group.csv,53.0,0.0,53.0,53.0,53.0,0.0,0.0,0.0,4.0,0.0043496666666666675,0.00018504143680087804,0.004457,0.004136,0.004456,,-1.7319938995005435,0.00014244444444444417,53.0,0.0,53,53,53.0,0.0,0.0,0.0,4,0.0043496666666666675,0.00018504143680087804,0.004457,0.004136,0.004456,,-1.7319938995005435,0.00014244444444444417,,,,,,,,,,,,,,,,,
Aqara Button,Button,./Data\Power\Topology_A\4-Group_dataset\powerSmartSocket2_group.csv,53.0,0.0,53.0,53.0,53.0,0.0,0.0,0.0,8.0,0.11076985714285714,0.28156183990758205,0.749292,0.004136,0.004456,6.999993560718993,2.645749713603394,0.18243489795918366,53.0,0.0,53,53,53.0,0.0,0.0,0.0,8,0.11076985714285714,0.28156183990758205,0.749292,0.004136,0.004456,6.999993560718993,2.645749713603394,0.18243489795918366,,,,,,,,,,,,,,,,,
Aqara Button,Button,./Data\Power\Topology_A\4-Group_dataset\powerSmartSocket2_group.csv,53.0,0.0,53.0,53.0,53.0,0.0,0.0,0.0,4.0,0.0043493333333333335,0.00018475208614068022,0.004456,0.004136,0.004456,,-1.7320508075688914,0.0001422222222222221,53.0,0.0,53,53,53.0,0.0,0.0,0.0,4,0.0043493333333333335,0.00018475208614068022,0.004456,0.004136,0.004456,,-1.7320508075688914,0.0001422222222222221,,,,,,,,,,,,,,,,,
Aqara Door 2,Door,./Data\Power\Topology_A\4-Group_dataset\powerSmartSocket2_group.csv,52.0,0.0,52.0,52.0,52.0,0.0,0.0,0.0,8.0,0.06794871428571428,0.16891699732384766,0.451016,0.003784,0.004104,6.999946490456898,2.6457380385998213,0.10944779591836735,52.0,0.0,52,52,52.0,0.0,0.0,0.0,8,0.06794871428571428,0.16891699732384766,0.451016,0.003784,0.004104,6.999946490456898,2.6457380385998213,0.10944779591836735,,,,,,,,,,,,,,,,,
Aqara Door 2,Door,./Data\Power\Topology_A\4-Group_dataset\powerSmartSocket2_group.csv,52.0,0.0,52.0,52.0,52.0,0.0,0.0,0.0,4.0,0.004104,0.00031999999999999997,0.004424,0.003784,0.004104,,0.0,0.0002133333333333333,52.0,0.0,52,52,52.0,0.0,0.0,0.0,4,0.004104,0.00031999999999999997,0.004424,0.003784,0.004104,,0.0,0.0002133333333333333,,,,,,,,,,,,,,,,,
Aqara Door 2,Door,./Data\Power\Topology_A\4-Group_dataset\powerSmartSocket2_group.csv,52.0,0.0,52.0,52.0,52.0,0.0,0.0,0.0,4.0,0.004104,0.00031999999999999997,0.004424,0.003784,0.004104,,0.0,0.0002133333333333333,52.0,0.0,52,52,52.0,0.0,0.0,0.0,4,0.004104,0.00031999999999999997,0.004424,0.003784,0.004104,,0.0,0.0002133333333333333,,,,,,,,,,,,,,,,,
Aqara Door 2,Door,./Data\Power\Topology_A\4-Group_dataset\powerSmartSocket2_group.csv,52.0,0.0,52.0,52.0,52.0,0.0,0.0,0.0,4.0,0.004104,0.00031999999999999997,0.004424,0.003784,0.004104,,0.0,0.0002133333333333333,52.0,0.0,52,52,52.0,0.0,0.0,0.0,4,0.004104,0.00031999999999999997,0.004424,0.003784,0.004104,,0.0,0.0002133333333333333,,,,,,,,,,,,,,,,,
Aqara Door 2,Door,./Data\Power\Topology_A\4-Group_dataset\powerSmartSocket2_group.csv,52.0,0.0,52.0,52.0,52.0,0.0,0.0,0.0,4.0,0.004104,0.00031999999999999997,0.004424,0.003784,0.004104,,0.0,0.0002133333333333333,52.0,0.0,52,52,52.0,0.0,0.0,0.0,4,0.004104,0.00031999999999999997,0.004424,0.003784,0.004104,,0.0,0.0002133333333333333,,,,,,,,,,,,,,,,,
Aqara Motion,Motion,./Data\Power\Topology_A\4-Group_dataset\powerSmartSocket2_group.csv,56.0,1.0,57.0,55.0,56.0,,0.0,0.6666666666666666,3.0,0.542434,0.6506683463393621,1.002526,0.082342,0.542434,,,0.460092,56.0,1.0,57,55,56.0,,0.0,0.6666666666666666,3,0.542434,0.6506683463393621,1.002526,0.082342,0.542434,,,0.460092,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerSmartSocket2_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,0.0,0.0,0.0,4,0.11383833333333332,0.1709639910751189,0.311034,0.007235,0.023246,,1.7149764798432907,0.13146377777777776,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,4.0,0.11383833333333332,0.1709639910751189,0.311034,0.007235,0.023246,,1.7149764798432907,0.13146377777777776
