Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
Moes Bulb,Bulb,Broadcast,Broadcast,Moes Bulb,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:09:11.000000000",0.0,68,0xebe5,0xffff,231.0,0xebe5,0xfffc
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Oct 13, 2023 18:09:11.514167000",0.514167,71,0x0000,0xffff,47.0,0x0000,0xfffc
Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:09:11.883479000",0.369312,74,0x054f,0xffff,213.0,0x054f,0xfffc
Power Plug 1,Socket,Broadcast,Broadcast,Power Plug 1,Socket,Broadcast,Broadcast,"Oct 13, 2023 18:09:13.305498000",1.422019,71,0x6e5f,0xffff,40.0,0x6e5f,0xfffc
Smart Socket,Socket,Broadcast,Broadcast,Smart Socket,Socket,Broadcast,Broadcast,"Oct 13, 2023 18:09:13.745739000",0.440241,74,0xe694,0xffff,54.0,0xe694,0xfffc
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,"Oct 13, 2023 18:09:16.035781000",2.290042,74,0x82eb,0xffff,177.0,0x82eb,0xfffc
Power Plug 2,Socket,Broadcast,Broadcast,Power Plug 2,Socket,Broadcast,Broadcast,"Oct 13, 2023 18:09:16.555794000",0.520013,71,0xc8f0,0xffff,46.0,0xc8f0,0xfffc
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,"Oct 13, 2023 18:09:17.677911000",1.122117,52,0x0000,0xe694,48.0,0x0000,0xe694
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.679928000",0.002017,5,,,48.0,,
Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,"Oct 13, 2023 18:09:17.688233000",0.008305,63,0xe694,0x0000,55.0,0xe694,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.690632000",0.002399,5,,,55.0,,
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,"Oct 13, 2023 18:09:17.713108000",0.022476,52,0x0000,0x482d,49.0,0x0000,0x6e5f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.715155000",0.002047,5,,,49.0,,
Philips Lamp 1,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,"Oct 13, 2023 18:09:17.719422000",0.004267,52,0x482d,0x6e5f,48.0,0x0000,0x6e5f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.721428000",0.002006,5,,,48.0,,
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,"Oct 13, 2023 18:09:17.725223000",0.003795,45,0x0000,0xe694,50.0,0x0000,0xe694
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.727013000",0.00179,5,,,50.0,,
Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,"Oct 13, 2023 18:09:17.729316000",0.002303,63,0x6e5f,0x0000,41.0,0x6e5f,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.731715000",0.002399,5,,,41.0,,
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,"Oct 13, 2023 18:09:17.736323000",0.004608,54,0x0000,0xe694,51.0,0x0000,0xe694
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.738402000",0.002079,5,,,51.0,,
Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,"Oct 13, 2023 18:09:17.746469000",0.008067,66,0xe694,0x0000,56.0,0xe694,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.748964000",0.002495,5,,,56.0,,
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,"Oct 13, 2023 18:09:17.774364000",0.0254,45,0x0000,0x482d,52.0,0x0000,0x6e5f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.776187000",0.001823,5,,,52.0,,
Philips Lamp 1,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,"Oct 13, 2023 18:09:17.778891000",0.002704,45,0x482d,0x6e5f,49.0,0x0000,0x6e5f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.780684000",0.001793,5,,,49.0,,
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,"Oct 13, 2023 18:09:17.787062000",0.006378,54,0x0000,0x482d,53.0,0x0000,0x6e5f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.789173000",0.002111,5,,,53.0,,
Philips Lamp 1,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,"Oct 13, 2023 18:09:17.796933000",0.00776,54,0x482d,0x6e5f,50.0,0x0000,0x6e5f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.799015000",0.002082,5,,,50.0,,
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,"Oct 13, 2023 18:09:17.802205000",0.00319,45,0x0000,0xe694,54.0,0x0000,0xe694
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.803999000",0.001794,5,,,54.0,,
Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,"Oct 13, 2023 18:09:17.806940000",0.002941,66,0x6e5f,0x0000,42.0,0x6e5f,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.809435000",0.002495,5,,,42.0,,
Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 13, 2023 18:09:17.813724000",0.004289,54,0x0000,0xe5c4,55.0,0x0000,0xc8f0
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.815835000",0.002111,5,,,55.0,,
Philips Motion,Bulb,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 13, 2023 18:09:17.820698000",0.004863,54,0xe5c4,0xc8f0,129.0,0x0000,0xc8f0
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.822777000",0.002079,5,,,129.0,,
Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,"Oct 13, 2023 18:09:17.830545000",0.007768,66,0xc8f0,0x0000,47.0,0xc8f0,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.833039000",0.002494,5,,,47.0,,
Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 13, 2023 18:09:17.841820000",0.008781,52,0x0000,0xe5c4,56.0,0x0000,0xc8f0
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.843867000",0.002047,5,,,56.0,,
Philips Motion,Bulb,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 13, 2023 18:09:17.847677000",0.00381,52,0xe5c4,0xc8f0,130.0,0x0000,0xc8f0
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.849694000",0.002017,5,,,130.0,,
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,"Oct 13, 2023 18:09:17.854162000",0.004468,45,0x0000,0x482d,57.0,0x0000,0x6e5f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.855985000",0.001823,5,,,57.0,,
Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,"Oct 13, 2023 18:09:17.857507000",0.001522,63,0xc8f0,0x0000,48.0,0xc8f0,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.859906000",0.002399,5,,,48.0,,
Philips Lamp 1,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,"Oct 13, 2023 18:09:17.861346000",0.00144,45,0x482d,0x6e5f,51.0,0x0000,0x6e5f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.863139000",0.001793,5,,,51.0,,
Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 13, 2023 18:09:17.863932000",0.000793,45,0x0000,0xe5c4,58.0,0x0000,0xc8f0
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.865755000",0.001823,5,,,58.0,,
Philips Motion,Bulb,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 13, 2023 18:09:17.870504000",0.004749,45,0xe5c4,0xc8f0,131.0,0x0000,0xc8f0
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.872295000",0.001791,5,,,131.0,,
Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 13, 2023 18:09:17.876548000",0.004253,45,0x0000,0xe5c4,59.0,0x0000,0xc8f0
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.878371000",0.001823,5,,,59.0,,
Philips Motion,Bulb,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 13, 2023 18:09:17.881998000",0.003627,45,0xe5c4,0xc8f0,132.0,0x0000,0xc8f0
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:17.883781000",0.001783,5,,,132.0,,
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Unknown,Unknown,,,"Oct 13, 2023 18:09:19.921129000",2.037348,107,0x09ac,0xffff,104.0,,
Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:09:21.959558000",2.038429,74,0x482d,0xffff,52.0,0x482d,0xfffc
Philips Motion,Bulb,Broadcast,Broadcast,Philips Motion,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:09:22.188200000",0.228642,74,0xe5c4,0xffff,133.0,0xe5c4,0xfffc
Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,"Oct 13, 2023 18:09:22.849167000",0.660967,60,0x6e5f,0x0000,43.0,0x6e5f,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:22.851470000",0.002303,5,,,43.0,,
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,"Oct 13, 2023 18:09:22.893721000",0.042251,50,0x0000,0x482d,60.0,0x0000,0x6e5f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:22.895705000",0.001984,5,,,60.0,,
Philips Lamp 1,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,"Oct 13, 2023 18:09:22.898939000",0.003234,50,0x482d,0x6e5f,53.0,0x0000,0x6e5f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:22.900883000",0.001944,5,,,53.0,,
Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,"Oct 13, 2023 18:09:22.906112000",0.005229,45,0x6e5f,0x0000,44.0,0x6e5f,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:22.907935000",0.001823,5,,,44.0,,
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:09:25.558474000",2.650539,52,0x5db6,0xe694,211.0,0x5db6,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:25.560490000",0.002016,5,,,211.0,,
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:09:25.564343000",0.003853,52,0xe694,0x0000,57.0,0x5db6,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:25.566390000",0.002047,5,,,57.0,,
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:09:25.569980000",0.00359,52,0xe694,0x0000,57.0,0x5db6,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:25.572027000",0.002047,5,,,57.0,,
Moes Bulb,Bulb,Broadcast,Broadcast,Moes Bulb,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:09:26.001452000",0.429425,68,0xebe5,0xffff,232.0,0xebe5,0xfffc
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Oct 13, 2023 18:09:27.125963000",1.124511,74,0x0000,0xffff,61.0,0x0000,0xfffc
Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:09:27.283153000",0.15719,74,0x054f,0xffff,214.0,0x054f,0xfffc
Power Plug 1,Socket,Broadcast,Broadcast,Power Plug 1,Socket,Broadcast,Broadcast,"Oct 13, 2023 18:09:28.294018000",1.010865,71,0x6e5f,0xffff,45.0,0x6e5f,0xfffc
Smart Socket,Socket,Broadcast,Broadcast,Smart Socket,Socket,Broadcast,Broadcast,"Oct 13, 2023 18:09:28.844573000",0.550555,74,0xe694,0xffff,58.0,0xe694,0xfffc
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,"Oct 13, 2023 18:09:31.049235000",2.204662,74,0x82eb,0xffff,178.0,0x82eb,0xfffc
Aqara Button,Button,Smart Socket,Socket,Aqara Button,Button,Coordinator,Coordinator,"Oct 13, 2023 18:09:31.068714000",0.019479,53,0xe011,0xe694,165.0,0xe011,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.070761000",0.002047,5,,,165.0,,
Smart Socket,Socket,Coordinator,Coordinator,Aqara Button,Button,Coordinator,Coordinator,"Oct 13, 2023 18:09:31.074701000",0.00394,53,0xe694,0x0000,59.0,0xe011,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.076779000",0.002078,5,,,59.0,,
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,"Oct 13, 2023 18:09:31.125080000",0.048301,48,0x0000,0x054f,62.0,0x0000,0x054f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.126985000",0.001905,5,,,62.0,,
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:09:31.155591000",0.028606,55,0x054f,0x0000,215.0,0x054f,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.157734000",0.002143,5,,,215.0,,
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:09:31.164174000",0.00644,55,0x054f,0x0000,216.0,0x054f,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.166317000",0.002143,5,,,216.0,,
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:09:31.175630000",0.009313,55,0x054f,0x0000,217.0,0x054f,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.177772000",0.002142,5,,,217.0,,
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:09:31.193376000",0.015604,50,0x054f,0x0000,218.0,0x054f,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.195358000",0.001982,5,,,218.0,,
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:09:31.203546000",0.008188,52,0x054f,0x0000,219.0,0x054f,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.205592000",0.002046,5,,,219.0,,
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,"Oct 13, 2023 18:09:31.210347000",0.004755,45,0x0000,0x054f,63.0,0x0000,0x054f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.212157000",0.00181,5,,,63.0,,
Ledvance Bulb,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.217273000",0.005116,52,0x054f,0x0000,220.0,,
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:09:31.228685000",0.011412,52,0x054f,0x0000,220.0,0x054f,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.230732000",0.002047,5,,,220.0,,
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,"Oct 13, 2023 18:09:31.233160000",0.002428,45,0x0000,0x054f,64.0,0x0000,0x054f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.234969000",0.001809,5,,,64.0,,
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,"Oct 13, 2023 18:09:31.250095000",0.015126,45,0x0000,0x054f,65.0,0x0000,0x054f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.251904000",0.001809,5,,,65.0,,
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,"Oct 13, 2023 18:09:31.258120000",0.006216,50,0x0000,0x054f,66.0,0x0000,0x054f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.260089000",0.001969,5,,,66.0,,
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,"Oct 13, 2023 18:09:31.271436000",0.011347,50,0x0000,0x054f,67.0,0x0000,0x054f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.273405000",0.001969,5,,,67.0,,
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:09:31.277556000",0.004151,55,0x054f,0x0000,221.0,0x054f,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.279699000",0.002143,5,,,221.0,,
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:09:31.288124000",0.008425,55,0x054f,0x0000,222.0,0x054f,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.290267000",0.002143,5,,,222.0,,
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:09:31.321122000",0.030855,45,0x054f,0x0000,223.0,0x054f,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.322945000",0.001823,5,,,223.0,,
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:09:31.336209000",0.013264,45,0x054f,0x0000,224.0,0x054f,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.338031000",0.001822,5,,,224.0,,
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:09:31.407354000",0.069323,52,0x5db6,0xe694,212.0,0x5db6,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.409361000",0.002007,5,,,212.0,,
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:09:31.413285000",0.003924,52,0xe694,0x0000,60.0,0x5db6,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:31.415332000",0.002047,5,,,60.0,,
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:09:32.148172000",0.73284,55,0x054f,0x0000,225.0,0x054f,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:32.150315000",0.002143,5,,,225.0,,
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:09:32.193392000",0.043077,52,0x054f,0x0000,226.0,0x054f,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:32.195439000",0.002047,5,,,226.0,,
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,"Oct 13, 2023 18:09:32.208689000",0.01325,45,0x0000,0x054f,68.0,0x0000,0x054f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:32.210499000",0.00181,5,,,68.0,,
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,"Oct 13, 2023 18:09:32.235281000",0.024782,50,0x0000,0x054f,69.0,0x0000,0x054f
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:32.237250000",0.001969,5,,,69.0,,
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:09:32.240831000",0.003581,55,0x054f,0x0000,227.0,0x054f,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:32.242974000",0.002143,5,,,227.0,,
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:09:32.287459000",0.044485,45,0x054f,0x0000,228.0,0x054f,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:32.289282000",0.001823,5,,,228.0,,
Aqara Motion,Motion,Philips Lamp 1,Bulb,Aqara Motion,Motion,Coordinator,Coordinator,"Oct 13, 2023 18:09:32.820132000",0.53085,102,0x9989,0x482d,198.0,0x9989,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:32.823779000",0.003647,5,,,198.0,,
Philips Lamp 1,Bulb,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,"Oct 13, 2023 18:09:32.826816000",0.003037,57,0x482d,0x0000,54.0,0x9989,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:32.829023000",0.002207,5,,,54.0,,
Philips Lamp 1,Bulb,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,"Oct 13, 2023 18:09:32.876099000",0.047076,102,0x482d,0x0000,55.0,0x9989,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:32.879746000",0.003647,5,,,55.0,,
Aqara Motion,Motion,Philips Lamp 1,Bulb,Unknown,Unknown,,,"Oct 13, 2023 18:09:33.828921000",0.949175,12,0x9989,0x482d,199.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:33.829687000",0.000766,5,,,199.0,,
Sonoff Door 1,Door,Ledvance Bulb,Bulb,Sonoff Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:09:34.691591000",0.861904,54,0x3181,0x054f,161.0,0x3181,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:34.693688000",0.002097,5,,,161.0,,
Ledvance Bulb,Bulb,Coordinator,Coordinator,Sonoff Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:09:34.698005000",0.004317,57,0x054f,0x0000,229.0,0x3181,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:34.700211000",0.002206,5,,,229.0,,
Ledvance Bulb,Bulb,Coordinator,Coordinator,Sonoff Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:09:34.744516000",0.044305,54,0x054f,0x0000,230.0,0x3181,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:34.746626000",0.00211,5,,,230.0,,
Aqara Motion,Motion,Philips Lamp 1,Bulb,Unknown,Unknown,,,"Oct 13, 2023 18:09:34.837644000",0.091018,12,0x9989,0x482d,200.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:34.838411000",0.000767,5,,,200.0,,
Sonoff Door 1,Door,Ledvance Bulb,Bulb,Unknown,Unknown,,,"Oct 13, 2023 18:09:35.197077000",0.358666,12,0x3181,0x054f,162.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:35.197830000",0.000753,5,,,162.0,,
Aqara Motion,Motion,Philips Lamp 1,Bulb,Unknown,Unknown,,,"Oct 13, 2023 18:09:35.846325000",0.648495,12,0x9989,0x482d,201.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:35.847092000",0.000767,5,,,201.0,,
Philips Motion,Bulb,Broadcast,Broadcast,Philips Motion,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:09:36.779187000",0.932095,74,0xe5c4,0xffff,134.0,0xe5c4,0xfffc
Power Plug 1,Socket,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:38.167251000",1.388064,52,0x6e5f,0x2600,46.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:09:38.169298000",0.002047,5,,,46.0,,
