Device Name,Device Type,File Name,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
Broadcast,Broadcast,./Data\Scenario\Topology_B\4-Group_dataset\scenario1_group.csv,69.5,2.1213203435596424,71.0,68.0,69.5,,,1.5,2.0,0.808888,,0.808888,0.808888,0.808888,,,0.0,69.5,2.1213203435596424,71,68,69.5,,,1.5,2,0.808888,,0.808888,0.808888,0.808888,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Scenario\Topology_B\4-Group_dataset\scenario1_group.csv,71.0,0.0,71.0,71.0,71.0,,,0.0,2.0,0.450457,,0.450457,0.450457,0.450457,,,0.0,71.0,0.0,71,71,71.0,,,0.0,2,0.450457,,0.450457,0.450457,0.450457,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Scenario\Topology_B\4-Group_dataset\scenario1_group.csv,69.5,2.1213203435596424,71.0,68.0,69.5,,,1.5,2.0,0.247181,,0.247181,0.247181,0.247181,,,0.0,69.5,2.1213203435596424,71,68,69.5,,,1.5,2,0.247181,,0.247181,0.247181,0.247181,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Scenario\Topology_B\4-Group_dataset\scenario1_group.csv,71.0,0.0,71.0,71.0,71.0,,,0.0,2.0,0.684588,,0.684588,0.684588,0.684588,,,0.0,71.0,0.0,71,71,71.0,,,0.0,2,0.684588,,0.684588,0.684588,0.684588,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Scenario\Topology_B\4-Group_dataset\scenario1_group.csv,69.5,2.1213203435596424,71.0,68.0,69.5,,,1.5,2.0,0.870502,,0.870502,0.870502,0.870502,,,0.0,69.5,2.1213203435596424,71,68,69.5,,,1.5,2,0.870502,,0.870502,0.870502,0.870502,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Scenario\Topology_B\4-Group_dataset\scenario1_group.csv,71.0,0.0,71.0,71.0,71.0,,,0.0,2.0,0.246231,,0.246231,0.246231,0.246231,,,0.0,71.0,0.0,71,71,71.0,,,0.0,2,0.246231,,0.246231,0.246231,0.246231,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Scenario\Topology_B\4-Group_dataset\scenario1_group.csv,71.0,0.0,71.0,71.0,71.0,,,0.0,2.0,0.152309,,0.152309,0.152309,0.152309,,,0.0,71.0,0.0,71,71,71.0,,,0.0,2,0.152309,,0.152309,0.152309,0.152309,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Scenario\Topology_B\4-Group_dataset\scenario1_group.csv,68.0,4.242640687119285,71.0,65.0,68.0,,,3.0,2.0,0.611312,,0.611312,0.611312,0.611312,,,0.0,68.0,4.242640687119285,71,65,68.0,,,3.0,2,0.611312,,0.611312,0.611312,0.611312,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Scenario\Topology_B\4-Group_dataset\scenario1_group.csv,71.0,0.0,71.0,71.0,71.0,,,0.0,2.0,0.661411,,0.661411,0.661411,0.661411,,,0.0,71.0,0.0,71,71,71.0,,,0.0,2,0.661411,,0.661411,0.661411,0.661411,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Scenario\Topology_B\4-Group_dataset\scenario1_group.csv,68.0,4.242640687119285,71.0,65.0,68.0,,,3.0,2.0,0.860415,,0.860415,0.860415,0.860415,,,0.0,68.0,4.242640687119285,71,65,68.0,,,3.0,2,0.860415,,0.860415,0.860415,0.860415,,,0.0,,,,,,,,,,,,,,,,,
