Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-29 16:49:55.065720,50,0x0000,0x1cd8,59,0x0000,0x1cd8,0.049628
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-29 16:49:55.069966,50,0x0000,0x1cd8,59,0x0000,0x1cd8,0.004246
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-29 16:49:55.073023,50,0x0000,0x1cd8,59,0x0000,0x1cd8,0.003057
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-29 16:49:55.077887,50,0x0000,0x1cd8,59,0x0000,0x1cd8,0.004864
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-29 16:49:55.129695,50,0x0000,0x1cd8,60,0x0000,0x1cd8,0.051808
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-29 16:49:55.133890,50,0x0000,0x1cd8,60,0x0000,0x1cd8,0.004195
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-29 16:49:55.139187,50,0x0000,0x1cd8,60,0x0000,0x1cd8,0.005297
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-29 16:49:55.144471,50,0x0000,0x1cd8,60,0x0000,0x1cd8,0.005284
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-29 16:49:55.423051,50,0x0000,0x1cd8,64,0x0000,0x1cd8,0.053628
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-29 16:49:55.426978,50,0x0000,0x1cd8,64,0x0000,0x1cd8,0.003927
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-29 16:49:55.430611,50,0x0000,0x1cd8,64,0x0000,0x1cd8,0.003633
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-29 16:49:55.435218,50,0x0000,0x1cd8,64,0x0000,0x1cd8,0.004607
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-29 16:49:55.481246,50,0x0000,0x1cd8,65,0x0000,0x1cd8,0.046028
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-29 16:49:55.486620,50,0x0000,0x1cd8,65,0x0000,0x1cd8,0.005374
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-29 16:49:55.491904,50,0x0000,0x1cd8,65,0x0000,0x1cd8,0.005284
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-29 16:49:55.495268,50,0x0000,0x1cd8,65,0x0000,0x1cd8,0.003364
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-29 16:49:55.524560,50,0x0000,0x1cd8,66,0x0000,0x1cd8,0.029292
