Device Name,Device Type,File Name,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.333333333333336,3.5000000000000004,52.0,45.0,45.0,-1.7142857142857189,0.8571428571428532,3.111111111111112,9.0,0.027388625,0.037087961435089856,0.116524,0.005730000000000002,0.013013500000000002,6.629993183244383,2.5415867118503943,0.0242641875,47.333333333333336,3.5,52.0,45.0,45.0,-1.7142857142857189,0.8571428571428532,3.1111111111111125,9.0,0.027388624999999944,0.037087961435089856,0.11652400000000007,0.005730000000000014,0.013013500000000013,6.629993183244386,2.541586711850394,0.024264187500000034
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,52.0,-1.0587820349421063e-16,52.0,52.0,52.0,-1.0,-1.0,3.903127820947816e-18,2.0,0.006710999999999912,-1.0,0.006710999999999912,0.006710999999999912,0.006710999999999912,-1.0,-1.0,6.515900801171459e-19,49.66666666666666,4.041451884327381,52.0,45.0,52.0,-1.0,-1.7320508075688723,3.111111111111112,3.0,0.016152,0.013351590242364209,0.025593000000000005,0.006710999999999999,0.016152,-1.0,-1.0,0.009441,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,52.0,-1.0587820349421063e-16,52.0,52.0,52.0,-1.0,-1.0,3.903127820947816e-18,2.0,0.006710999999999912,-1.0,0.006710999999999912,0.006710999999999912,0.006710999999999912,-1.0,-1.0,6.515900801171459e-19,49.66666666666666,4.041451884327381,52.0,45.0,52.0,-1.0,-1.7320508075688723,3.111111111111112,3.0,0.016152,0.013351590242364209,0.025593000000000005,0.006710999999999999,0.016152,-1.0,-1.0,0.009441,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,52.0,-1.0587820349421063e-16,52.0,52.0,52.0,-1.0,-1.0,3.903127820947816e-18,2.0,0.006710999999999912,-1.0,0.006710999999999912,0.006710999999999912,0.006710999999999912,-1.0,-1.0,6.515900801171459e-19,49.66666666666666,4.041451884327381,52.0,45.0,52.0,-1.0,-1.7320508075688723,3.111111111111112,3.0,0.016152,0.013351590242364209,0.025593000000000005,0.006710999999999999,0.016152,-1.0,-1.0,0.009441,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,52.0,-1.0587820349421063e-16,52.0,52.0,52.0,-1.0,-1.0,3.903127820947816e-18,2.0,0.006710999999999912,-1.0,0.006710999999999912,0.006710999999999912,0.006710999999999912,-1.0,-1.0,6.515900801171459e-19,49.66666666666666,4.041451884327381,52.0,45.0,52.0,-1.0,-1.7320508075688723,3.111111111111112,3.0,0.016152,0.013351590242364209,0.025593000000000005,0.006710999999999999,0.016152,-1.0,-1.0,0.009441,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,52.0,-1.0587820349421063e-16,52.0,52.0,52.0,-1.0,-1.0,3.903127820947816e-18,2.0,0.006710999999999912,-1.0,0.006710999999999912,0.006710999999999912,0.006710999999999912,-1.0,-1.0,6.515900801171459e-19,49.66666666666666,4.041451884327381,52.0,45.0,52.0,-1.0,-1.7320508075688723,3.111111111111112,3.0,0.016152,0.013351590242364209,0.025593000000000005,0.006710999999999999,0.016152,-1.0,-1.0,0.009441,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,63.0,3.6742346141747673,66.0,57.0,63.0,2.0,-1.3608276348795432,2.4,5.0,0.0913482499999998,0.09202413376346796,0.22412799999999988,0.018199999999999994,0.06153249999999999,2.5218257287681105,1.5730004557103525,0.06638987499999982,53.88235294117647,6.954156607213204,66.0,45.0,52.0,-0.6724799375907082,0.5802898488156254,5.404844290657439,17.0,0.0622335625,0.14408100572477456,0.579079,0.003795,0.01609,12.84773775666659,3.5138994556819343,0.078880109375,50.083333333333336,3.449857265382896,54.0,45.0,50.0,-0.9895022003281158,-0.530691058051163,2.5972222222222228,12.0,0.09052154545454538,0.17192822613018688,0.586873,0.003903999999999909,0.025692999999999966,8.63208481218253,2.8797782913344876,0.10586525619834708
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,63.0,3.6742346141747673,66.0,57.0,63.0,2.0,-1.3608276348795432,2.4,5.0,0.0913482499999998,0.09202413376346796,0.22412799999999988,0.018199999999999994,0.06153249999999999,2.5218257287681105,1.5730004557103525,0.06638987499999982,55.16666666666666,8.67213251472446,77.0,45.0,53.0,0.7956170222333245,1.029452882941908,6.777777777777778,18.0,0.0589452352941176,0.14016312042158652,0.579079,0.003795,0.014362000000000002,13.67564693794846,3.623791789709781,0.0750138269896193,52.15384615384616,8.163395472536267,77.0,45.0,50.0,8.152227115606706,2.574078634220851,4.67455621301775,13.0,0.08350574999999982,0.16571892203812233,0.586873,0.003903999999999909,0.02175550000000004,9.438702713703929,3.0084730997123814,0.09938174999999982
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,63.0,3.6742346141747673,66.0,57.0,63.0,2.0,-1.3608276348795432,2.4,5.0,0.0913482499999998,0.09202413376346796,0.22412799999999988,0.018199999999999994,0.06153249999999999,2.5218257287681105,1.5730004557103525,0.06638987499999982,55.16666666666666,8.67213251472446,77.0,45.0,53.0,0.7956170222333245,1.029452882941908,6.777777777777778,18.0,0.0589452352941176,0.14016312042158652,0.579079,0.003795,0.014362000000000002,13.67564693794846,3.623791789709781,0.0750138269896193,52.15384615384616,8.163395472536267,77.0,45.0,50.0,8.152227115606706,2.574078634220851,4.67455621301775,13.0,0.08350574999999982,0.16571892203812233,0.586873,0.003903999999999909,0.02175550000000004,9.438702713703929,3.0084730997123814,0.09938174999999982
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,63.0,3.6742346141747673,66.0,57.0,63.0,2.0,-1.3608276348795432,2.4,5.0,0.0913482499999998,0.09202413376346796,0.22412799999999988,0.018199999999999994,0.06153249999999999,2.5218257287681105,1.5730004557103525,0.06638987499999982,54.63157894736842,8.74458897017521,77.0,45.0,52.0,0.806093143138801,1.0499563856103133,6.759002770083102,19.0,0.1723038888888889,0.4997933463963926,2.099401,0.003795,0.01609,14.96426639228083,3.7984087005892944,0.25977748148148144,51.642857142857146,8.072814234845843,77.0,45.0,50.0,8.29954496557167,2.5848640825701326,4.734693877551021,14.0,0.23857461538461533,0.581185673297633,2.099401,0.003903999999999909,0.025692999999999966,10.607390856291595,3.202541756777521,0.33986534911242594
