Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 18:13:51.689763,50,0x482d,0x2cae,30.0,0x0000,0x2cae,0.00231
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:13:51.703819,45,0x2cae,0x482d,226.0,0x2cae,0x0000,0.008099
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Broadcast,Broadcast,2023-10-12 18:15:49.104143,53,0x2cae,0x482d,255.0,0x2cae,0xfffc,0.068135
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:16:13.713214,45,0x2cae,0x482d,11.0,0x2cae,0x0000,0.00437
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 18:28:50.319312,50,0x482d,0x2cae,151.0,0x0000,0x2cae,0.003258
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:30:30.409666,53,0x2cae,0x482d,203.0,0x2cae,0x0000,0.602269
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:30:48.953085,52,0x2cae,0x482d,215.0,0x2cae,0x0000,2.193785
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 18:30:50.447592,50,0x482d,0x2cae,209.0,0x0000,0x2cae,0.002632
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:31:01.203580,52,0x2cae,0x482d,224.0,0x2cae,0x0000,0.077416
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:31:01.842932,45,0x2cae,0x482d,227.0,0x2cae,0x0000,0.001641
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:31:01.857578,45,0x2cae,0x482d,229.0,0x2cae,0x0000,0.00204
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:31:15.328931,52,0x2cae,0x482d,232.0,0x2cae,0x0000,1.334076
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 18:31:16.826230,50,0x482d,0x2cae,236.0,0x0000,0x2cae,0.005689
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 18:31:18.481498,50,0x482d,0x2cae,241.0,0x0000,0x2cae,0.003557
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:31:18.494373,45,0x2cae,0x482d,242.0,0x2cae,0x0000,0.007861
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:31:26.954494,52,0x2cae,0x482d,245.0,0x2cae,0x0000,0.635261
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:31:28.462453,45,0x2cae,0x482d,249.0,0x2cae,0x0000,0.007825
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 18:31:31.637330,50,0x482d,0x2cae,254.0,0x0000,0x2cae,0.001327
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:32:01.642276,52,0x2cae,0x482d,6.0,0x2cae,0x0000,0.766867
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 18:32:03.167795,50,0x482d,0x2cae,21.0,0x0000,0x2cae,0.001352
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 18:32:03.177373,50,0x482d,0x2cae,22.0,0x0000,0x2cae,0.002642
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:32:03.182844,45,0x2cae,0x482d,11.0,0x2cae,0x0000,0.003485
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 18:32:21.235957,50,0x482d,0x2cae,38.0,0x0000,0x2cae,0.004987
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:32:21.248802,45,0x2cae,0x482d,22.0,0x2cae,0x0000,0.006897
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:32:24.049636,52,0x2cae,0x482d,24.0,0x2cae,0x0000,1.680579
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 18:32:25.546261,50,0x482d,0x2cae,44.0,0x0000,0x2cae,0.001667
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:32:25.559647,45,0x2cae,0x482d,28.0,0x2cae,0x0000,0.009143
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:32:31.548035,53,0x2cae,0x482d,31.0,0x2cae,0x0000,0.639159
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 18:32:33.076399,50,0x482d,0x2cae,49.0,0x0000,0x2cae,0.002372
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:32:33.089513,45,0x2cae,0x482d,35.0,0x2cae,0x0000,0.006837
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:32:33.986289,52,0x2cae,0x482d,37.0,0x2cae,0x0000,0.837929
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:32:35.530746,45,0x2cae,0x482d,41.0,0x2cae,0x0000,0.008021
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:33:04.459468,52,0x2cae,0x482d,54.0,0x2cae,0x0000,1.403909
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 18:33:05.953367,50,0x482d,0x2cae,75.0,0x0000,0x2cae,0.002915
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:33:05.968203,45,0x2cae,0x482d,58.0,0x2cae,0x0000,0.008194
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 18:33:20.079023,50,0x482d,0x2cae,89.0,0x0000,0x2cae,0.002682
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:33:31.267784,53,0x2cae,0x482d,70.0,0x2cae,0x0000,0.412825
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:33:32.842892,45,0x2cae,0x482d,74.0,0x2cae,0x0000,0.005798
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 18:43:48.384532,50,0x482d,0x2cae,171.0,0x0000,0x2cae,0.00175
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:48:17.301763,52,0x2cae,0x482d,2.0,0x2cae,0x0000,0.102919
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 18:48:18.800816,50,0x482d,0x2cae,197.0,0x0000,0x2cae,0.004161
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:48:18.815040,45,0x2cae,0x482d,6.0,0x2cae,0x0000,0.007724
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 18:48:31.488120,50,0x482d,0x2cae,202.0,0x0000,0x2cae,0.002401
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:52:13.459350,45,0x2cae,0x482d,63.0,0x2cae,0x0000,0.007689
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:52:21.958688,53,0x2cae,0x482d,66.0,0x2cae,0x0000,0.690888
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:52:23.480427,45,0x2cae,0x482d,70.0,0x2cae,0x0000,0.006486
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:52:35.190182,52,0x2cae,0x482d,74.0,0x2cae,0x0000,1.724625
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:52:36.701569,45,0x2cae,0x482d,78.0,0x2cae,0x0000,0.008217
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 18:52:53.343345,50,0x482d,0x2cae,243.0,0x0000,0x2cae,0.003648
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:52:53.355792,45,0x2cae,0x482d,87.0,0x2cae,0x0000,0.007131
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 18:58:47.011633,50,0x482d,0x2cae,24.0,0x0000,0x2cae,0.002795
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 18:58:47.024206,45,0x2cae,0x482d,162.0,0x2cae,0x0000,0.006175
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Broadcast,Broadcast,2023-10-12 18:58:48.640040,56,0x2cae,0x482d,164.0,0x2cae,0xfffc,1.40847
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 18:58:50.145224,59,0x482d,0x2cae,29.0,0x0000,0x2cae,0.002008
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,2023-10-12 19:00:18.173414,49,0x482d,0x2cae,44.0,0x0000,0x2cae,0.003589
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 19:07:33.565291,52,0x2cae,0x482d,68.0,0x2cae,0x0000,1.270136
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 19:07:35.105870,45,0x2cae,0x482d,72.0,0x2cae,0x0000,0.007156
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-12 19:07:51.766465,45,0x2cae,0x482d,81.0,0x2cae,0x0000,0.007208
Philips Lamp 1,Bulb,Power Plug 1,Socket,Philips Lamp 1,Bulb,Power Plug 1,Socket,Philips Lamp 1,Bulb,2023-10-12 18:13:31.271533,45,0x6e5f,0x482d,185.0,0x6e5f,0x482d,0.018658
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:13:32.941238,77,0x482d,0xffff,19.0,0x482d,0xfffc,1.214854
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:13:47.940645,77,0x482d,0xffff,27.0,0x482d,0xfffc,1.307927
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:14:03.651009,77,0x482d,0xffff,33.0,0x482d,0xfffc,1.898421
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 18:14:17.337524,50,0x0000,0x482d,33.0,0x0000,0x482d,0.488769
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-12 18:14:17.402339,53,0x482d,0x0000,41.0,0x482d,0x0000,0.050554
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 18:14:17.445093,50,0x0000,0x482d,34.0,0x0000,0x482d,0.040675
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:14:53.451442,77,0x482d,0xffff,51.0,0x482d,0xfffc,1.328779
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-12 18:15:13.624637,45,0x482d,0x0000,57.0,0x482d,0x0000,0.003149
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:15:29.207118,74,0x482d,0xffff,64.0,0x482d,0xfffc,1.246816
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:17:05.196896,77,0x482d,0xffff,91.0,0x482d,0xfffc,1.126021
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:17:20.399439,74,0x482d,0xffff,98.0,0x482d,0xfffc,1.234621
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:17:52.958308,77,0x482d,0xffff,105.0,0x482d,0xfffc,3.636757
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:18:08.025757,77,0x482d,0xffff,109.0,0x482d,0xfffc,0.947642
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:18:40.506848,77,0x482d,0xffff,115.0,0x482d,0xfffc,0.901964
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-12 18:19:03.359076,55,0x482d,0x0000,125.0,0x482d,0x0000,0.005745
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-12 18:19:03.406235,53,0x482d,0x0000,126.0,0x482d,0x0000,0.045016
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 18:19:03.452231,50,0x0000,0x482d,222.0,0x0000,0x482d,0.043917
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-12 18:19:03.458508,55,0x482d,0x0000,127.0,0x482d,0x0000,0.004294
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-12 18:19:03.506797,53,0x482d,0x0000,128.0,0x482d,0x0000,0.046146
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:19:28.980235,77,0x482d,0xffff,135.0,0x482d,0xfffc,0.779016
Philips Lamp 1,Bulb,Power Plug 1,Socket,Philips Lamp 1,Bulb,Power Plug 1,Socket,Philips Lamp 1,Bulb,2023-10-12 18:19:43.711485,45,0x6e5f,0x482d,16.0,0x6e5f,0x482d,0.00511
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-12 18:19:43.717248,45,0x482d,0x0000,137.0,0x482d,0x0000,0.005763
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:20:02.281371,77,0x482d,0xffff,156.0,0x482d,0xfffc,0.528022
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-12 18:20:04.635240,45,0x482d,0x0000,158.0,0x482d,0x0000,0.008436
Philips Lamp 1,Bulb,Philips Lamp 2,Bulb,Philips Lamp 1,Bulb,Philips Lamp 2,Bulb,Philips Lamp 1,Bulb,2023-10-12 18:20:14.548182,45,0xa209,0x482d,46.0,0xa209,0x482d,0.080493
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-12 18:20:14.554149,45,0x482d,0x0000,164.0,0x482d,0x0000,0.004144
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-12 18:20:43.780232,45,0x482d,0x0000,177.0,0x482d,0x0000,0.00504
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:21:50.785454,77,0x482d,0xffff,211.0,0x482d,0xfffc,0.970317
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:22:09.000948,77,0x482d,0xffff,212.0,0x482d,0xfffc,2.954119
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:22:27.174293,77,0x482d,0xffff,221.0,0x482d,0xfffc,0.081777
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:22:43.813192,77,0x482d,0xffff,230.0,0x482d,0xfffc,0.002782
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:23:18.145036,77,0x482d,0xffff,249.0,0x482d,0xfffc,1.353242
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 18:23:49.365887,50,0x0000,0x482d,165.0,0x0000,0x482d,0.609413
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 18:23:49.463037,50,0x0000,0x482d,166.0,0x0000,0x482d,0.040183
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-12 18:23:49.468446,55,0x482d,0x0000,7.0,0x482d,0x0000,0.003426
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:24:20.536473,77,0x482d,0xffff,21.0,0x482d,0xfffc,0.596234
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:24:38.655177,77,0x482d,0xffff,22.0,0x482d,0xfffc,1.472861
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:25:10.660611,77,0x482d,0xffff,38.0,0x482d,0xfffc,1.749991
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:25:24.816481,77,0x482d,0xffff,47.0,0x482d,0xfffc,1.762268
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:25:55.731908,77,0x482d,0xffff,59.0,0x482d,0xfffc,0.97489
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:26:26.901696,77,0x482d,0xffff,69.0,0x482d,0xfffc,0.538293
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-12 18:26:52.489844,55,0x482d,0x0000,84.0,0x482d,0x0000,1.344644
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-12 18:26:53.502635,55,0x482d,0x0000,88.0,0x482d,0x0000,0.328939
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-12 18:26:53.550575,52,0x482d,0x0000,89.0,0x482d,0x0000,0.045797
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:28:00.743990,77,0x482d,0xffff,113.0,0x482d,0xfffc,0.842515
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-12 18:28:35.384304,55,0x482d,0x0000,134.0,0x482d,0x0000,0.004035
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-12 18:28:35.493929,55,0x482d,0x0000,136.0,0x482d,0x0000,0.003452
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:28:50.068461,77,0x482d,0xffff,150.0,0x482d,0xfffc,1.151341
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:29:05.201515,77,0x482d,0xffff,154.0,0x482d,0xfffc,3.36889
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:29:22.630266,77,0x482d,0xffff,164.0,0x482d,0xfffc,2.093685
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:29:40.011513,77,0x482d,0xffff,167.0,0x482d,0xfffc,4.292662
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:29:56.912963,77,0x482d,0xffff,176.0,0x482d,0xfffc,0.501841
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:30:27.608733,77,0x482d,0xffff,192.0,0x482d,0xfffc,0.480828
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:30:43.480911,77,0x482d,0xffff,198.0,0x482d,0xfffc,0.414146
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:30:58.673965,77,0x482d,0xffff,212.0,0x482d,0xfffc,0.546083
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:31:48.481910,77,0x482d,0xffff,15.0,0x482d,0xfffc,1.05996
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:33:11.292200,77,0x482d,0xffff,78.0,0x482d,0xfffc,0.340922
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-12 18:33:21.396215,55,0x482d,0x0000,92.0,0x482d,0x0000,0.00375
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 18:34:15.522340,77,0x482d,0xffff,117.0,0x482d,0xfffc,0.675362
